Software name;Main programming language;Found;Approach;Repository;Connected to paper;Start year;Citations of paper (Google scholar);Stars*;Watch*;Fork*;Used by;Contributors;Issues (open+closed);Repository;Paper reference
openPSTD;C++;;Wave-Based;Github;Journal;2015;36;36;12;16;-;7;113;https://github.com/openPSTD/openPSTD;Hornikx, M., Krijnen, T. and van Harten, L., 2016. openPSTD: The open source pseudospectral time-domain method for acoustic propagation. Computer Physics Communications, 203, pp.298-308.
IR-GAN;Matlab;Paperswithcode;Data driven method, Machine learning method;Github;Preprint;2020;38;35;3;15;;1;;https://github.com/anton-jeran/IR-GAN;Ratnarajah, A., Tang, Z. and Manocha, D., 2020. IR-GAN: Room impulse response generator for far-field speech recognition. arXiv preprint arXiv:2010.13219.
EverTims;C++;Scopus;Geometrical Acoustics;Github;Conference;2017;27;43;7;13;;5;6;https://github.com/EVERTims/evertims;Poirier-Quinot, D., Katz, B.F. and Noisternig, M., 2017, September. EVERTims: Open source framework for real-time auralization in architectural acoustics and virtual reality. In 20th International Conference on Digital Audio Effects (DAFx-17).
MCRoomSim;Matlab;;Statistical, Geometrical Acoustics;Github;Conference;2010;138;46;4;13;;1;5;https://github.com/Andronicus1000/MCRoomSim;Wabnitz, A., Epain, N., Jin, C. and Van Schaik, A., 2010, August. Room acoustics simulation for multichannel microphone arrays. In Proceedings of the International Symposium on Room Acoustics (pp. 1-6). Citeseer.
MESH2IR;Python;Paperswithcode;Machine learning method;Github;Conference;2022;16;66;3;12;;1;4;https://github.com/anton-jeran/MESH2IR;Ratnarajah A, Tang Z, Aralikatti R, Manocha D. Mesh2ir: Neural acoustic impulse response generator for complex 3d scenes. InProceedings of the 30th ACM International Conference on Multimedia 2022 Oct 10 (pp. 924-933).
StoRIR ;Python;Paperswithcode;Statistical;Github;Conference;2020;7;39;10;11;;2;4;https://github.com/SRPOL-AUI/storir;Masztalski, P., Matuszewski, M., Piaskowski, K. and Romaniuk, M., 2020. StoRIR: Stochastic room impulse response generation for audio data augmentation. arXiv preprint arXiv:2008.07231.
RIRPINN;Python;Paperswithcode;Machine learning method;Github;Journal;2024;4;35;2;9;;1;;https://github.com/xefonon/RIRPINN;Karakonstantis, X., Caviedes-Nozal, D., Richard, A. and Fernandez-Grande, E., 2024. Room impulse response reconstruction with physics-informed deep learning. The Journal of the Acoustical Society of America, 155(2), pp.1048-1059.
TS-RIR ;Python;Paperswithcode;Machine learning method;Github;Conference;2021;18;35;2;9;;1;;https://github.com/anton-jeran/TS-RIR;Ratnarajah, A., Tang, Z. and Manocha, D., 2021, December. Ts-rir: Translated synthetic room impulse responses for speech augmentation. In 2021 IEEE automatic speech recognition and understanding workshop (ASRU) (pp. 259-266). IEEE.
sofamyroom;C;Paperswithcode;Statistical, Geometrical Acoustics;Github;Conference;2020;17;20;5;8;;1;1;https://github.com/robaru/sofamyroom;Gaultier, C., Kataria, S. and Deleforge, A., 2017. VAST: The virtual acoustic space traveler dataset. In Latent Variable Analysis and Signal Separation: 13th International Conference, LVA/ICA 2017, Grenoble, France, February 21-23, 2017, Proceedings 13 (pp. 68-79). Springer International Publishing.
room-simulation;Python;Paperswithcode;Geometrical Acoustics;Github;Conference;2020;11;27;2;7;;1;;https://github.com/ebezzam/room-simulation;Bezzam, E., Scheibler, R., Cadoux, C. and Gisselbrecht, T., 2020, December. A study on more realistic room simulation for far-field keyword spotting. In 2020 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC) (pp. 674-680). IEEE.
reverberation_learning_python;Python;Paperswithcode;Statistical, Geometrical Acoustics;Github;Preprint;2018;5;21;3;6;;1;1;https://github.com/papayiannis/reverberation_learning_python;Papayiannis, C., Evers, C. and Naylor, P.A., 2019. Data augmentation of room classifiers using generative adversarial networks. arXiv preprint arXiv:1901.03257.
Shoebox-Roomsim;Matlab;;Geometrical Acoustics;Github;Thesis;2015;90;25;1;6;;1;1;https://github.com/polarch/shoebox-roomsim;Archontis Politis, Microphone array processing for parametric spatial audio techniques, 2016
Image2reverb;Python;Paperswithcode;Data driven method, Machine learning method;Github;Conference;2020;37;61;4;5;;3;13;https://github.com/nikhilsinghmus/image2reverb;Singh N, Mentch J, Ng J, Beveridge M, Drori I. Image2reverb: Cross-modal reverb impulse response synthesis. InProceedings of the IEEE/CVF International Conference on Computer Vision 2021 (pp. 286-295).
ImageMethodReverb;Julia;Github;Geometrical Acoustics;Github;Journal;2015;80;25;3;5;;2;1;https://github.com/nantonel/ImageMethodReverb.jl;De Sena, E., Antonello, N., Moonen, M. and Van Waterschoot, T., 2015. On the modeling of rectangular geometries in room acoustic simulations. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 23(4), pp.774-786.
CRAM;typescript;;Statistical, Geometrical Acoustics, Wave-Based;Github;No;2020;NA;35;3;4;-;1;19;https://github.com/gregzanch/cram;
NVAS ;Python;Paperswithcode;Data driven method;Github;Preprint;2023;1;41;8;4;;1;;https://github.com/apple/ml-nvas3d;Ahn, B., Yang, K., Hamilton, B., Sheaffer, J., Ranjan, A., Sarabia, M., Tuzel, O. and Chang, J.H.R., 2023. Novel-View Acoustic Synthesis from 3D Reconstructed Rooms. arXiv preprint arXiv:2310.15130.
Acoustic-Raytracing;C++;;Geometrical Acoustics;Github;No;2020;NA;25;3;3;-;1;2;https://github.com/Cindytb/Acoustic-Raytracing;
pyimagesource;Python;Github;Geometrical Acoustics;Github;No;2018;;12;2;3;;1;;https://github.com/Fhrozen/pyimagesource;
Ray-Tracing-Impulse-Response-Generator;C;Github;Geometrical Acoustics;Github;No;2017;;12;2;3;;1;;https://github.com/Add9Sus4/Ray-Tracing-Impulse-Response-Generator;
Pachyderm;C#;;;Github;Journal;2017;33;10;5;3;;1;1;https://github.com/PachydermAcoustic;Van der Harten, A., 2013. Pachyderm Acoustical Simulation: Towards Open‐Source Sound Analysis. Architectural Design, 83(2), pp.138-139.
ra;C++, Python;Scopus;Geometrical Acoustics;Github;Journal;2019;3;4;2;2;;2;7;https://github.com/gmagno/ra;Brandão, E., Morgado, G. and Fonseca, W.D.A., 2021. A ray tracing engine integrated with Blender and with uncertainty estimation: Description and initial results. Building Acoustics, 28(2), pp.99-118.
Pang-King;Python;;Geometrical Acoustics;Github;No;2022;;3;1;2;;1;;https://github.com/kweiwen/pang-king;
PY_ROOMSIM;Python;Github;Geometrical Acoustics;Github;No;2019;;5;1;2;;1;;https://github.com/anotherother/PY_ROOMSIM;https://www.researchgate.net/publication/228630482_A_MATLAB_simulation_of_shoebox_room_acoustics_for_use_in_research_and_teaching
binaural-image-source-model;Matlab;Github;Geometrical Acoustics;Github;No;2017;;3;1;2;;1;;https://github.com/iCorv/binaural-image-source-model;
Just4RIR;C++;Scopus, Lens;Geometrical Acoustics;Github;No;2018;1;9;6;2;;1;;https://github.com/RobinGueguen/Just4RIR;Aussal, M. and Gueguen, R., 2018. Open-source platforms for fast room acoustic simulations in complex structures. arXiv preprint arXiv:1811.05784.
RAZR;Matlab;Github;Geometrical Acoustics;Github;Journal;2017;97;13;6;2;;1;;https://github.com/torbenwendt/razr;Wendt, T., Van De Par, S. and Ewert, S.D., 2014. A computationally-efficient and perceptually-plausible algorithm for binaural room impulse response simulation. Journal of the Audio Engineering Society, 62(11), pp.748-766.
sdn-matlab;Matlab;;Geometrical Acoustics;Github;Journal;2020;74;8;1;2;;1;0;https://github.com/enzodesena/sdn-matlab;De Sena, E., Hacιhabiboğlu, H., Cvetković, Z. and Smith, J.O., 2015. Efficient synthesis of room acoustics via scattering delay networks. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 23(9), pp.1478-1492.
AcousticSimulationFramework;Python;Paperswithcode;Geometrical Acoustics;Github;Conference;2023;1;12;1;2;;1;;https://github.com/daandelabie/acousticsimulationframework;Delabie, D., Buyle, C., Cox, B., Van der Perre, L. and De Strycker, L., 2023, September. An acoustic simulation framework to support indoor positioning and data driven signal processing assessments. In 2023 31st European Signal Processing Conference (EUSIPCO) (pp. 261-265). IEEE.
DEISM;Python;Paperswithcode;Geometrical Acoustics;Github;Journal;2023;0;9;5;1;;2;;https://github.com/audiolabs/DEISM;Xu, Z., Herzog, A., Lodermeyer, A., Habets, E.A. and Prinn, A.G., 2024. Simulating room transfer functions between transducers mounted on audio devices using a modified image source method. The Journal of the Acoustical Society of America, 155(1), pp.343-357.
FEM4room;Python;;Wave-Based;Github;No;2020;;3;1;1;;1;0;https://github.com/aldalmora/fem4room;
rec_room_wave_acoustics;Matlab;Github;Wave-Based;Github;No;2019;;8;2;1;;1;1;https://github.com/eric-brandao/rec_room_wave_acoustics;Meissner M. Prediction of Reverberant Properties of Enclosuresvia a Method Employing a Modal Representationof the Room Impulse Response. Archives of acoustics. 2016:27-41.
deeponet-acoustic-wave-prop;Python;Paperswithcode;Machine learning method;Github;Journal;2023;1;20;3;1;;1;;https://github.com/dtu-act/deeponet-acoustic-wave-prop;Borrel-Jensen, N., Goswami, S., Engsig-Karup, A.P., Karniadakis, G.E. and Jeong, C.H., 2024. Sound propagation in realistic interactive 3D scenes with parameterized sources using deep neural operators. Proceedings of the National Academy of Sciences, 121(2), p.e2312159120.
SoundFieldGAN;Python;Paperswithcode;Data driven method, Machine learning method;Github;Journal;2023;6;6;2;0;;2;;https://github.com/xefonon/soundfieldgan;Karakonstantis, X. and Fernandez-Grande, E., 2023. Generative adversarial networks with physical sound field priors. The Journal of the Acoustical Society of America, 154(2), pp.1226-1238.
Band;typescript;;Statistical, Geometrical Acoustics, Wave-Based;Github;No;2022;;1;1;0;;1;;https://github.com/gregzanch/band;
Duerer;NA;Github;Geometrical Acoustics;Github;No;2022;;3;2;0;;1;;https://github.com/opasquetdotfr/Duerer;
MultiRoomAcousticsSimulator;C++;Github;Geometrical Acoustics;Github;Journal;2022;2;11;2;0;;1;;https://github.com/IsraelCohenLab/MultiRoomAcousticsSimulator;Shalev, E., Cohen, I. and Lvov, D., 2021. Indoors audio classification with structure image method for simulating multi-room acoustics. The Journal of the Acoustical Society of America, 150(4), pp.3059-3073.
vaRays;;Scopus;Geometrical Acoustics;Gitlab;Conference;2018;;7;;;;11;5;https://gitlab.com/varays/vaRays;OUELLET-DELORME, E., VENKATESAN, H., DURAND, E. and BOUILLOT, N., 2021. LIVE RAY TRACING AND AURALIZATION OF 3D AUDIO SCENES WITH.
AcMus;Java;Scopus, Lens;Geometrical Acoustics;SourceForge;Journal;2008;10;;;;;;;https://sourceforge.net/projects/acmus/;Queiroz, M., Iazzetta, F., Kon, F., Gomes, M.H.A., Figueiredo, F.L., Masiero, B., Ueda, L.K., Dias, L., Torres, M.H.C. and Thomaz, L.F., 2008. AcMus: an open, integrated platform for room acoustics research. Journal of the Brazilian Computer Society, 14, pp.87-103.
ROOMSIM;Matlab, C;Scopus, Lens;Geometrical Acoustics;SourceForge;Conference;2009;68;;;;;;;https://sourceforge.net/projects/roomsim/;Schimmel, S.M., Muller, M.F. and Dillier, N., 2009, April. A fast and accurate “shoebox” room acoustics simulator. In 2009 IEEE International Conference on Acoustics, Speech and Signal Processing (pp. 241-244). IEEE.
RAVEN;C++;;Geometrical Acoustics;Website;Conference;2011;127;;;;;;;https://www.virtualacoustics.org/RAVEN/;Schröder, D. and Vorländer, M., 2011, January. RAVEN: A real-time framework for the auralization of interactive virtual environments. In Forum acusticum (pp. 1541-1546). Denmark: Aalborg.
